index,r,result,x,y,timestamp,z,jointAngle
1,-90.13235473632812,0,-0.5105974674224854,-221.04107666015625,2025-03-29 16:46:57,-104.63736724853516,"(-90.13235473632812, 73.16680908203125, 77.8951187133789, 0.0)"
2,-96.77647399902344,0,-27.481863021850586,-231.27757263183594,2025-03-29 16:47:54,-128.93418884277344,"(-96.77647399902344, 84.39351654052734, 75.20004272460938, 0.0)"
3,-89.47058868408203,0,2.043164014816284,-221.11849975585938,2025-03-29 16:48:07,-102.88575744628906,"(-89.47058868408203, 72.4452896118164, 77.6603012084961, 0.0)"
4,-90.21176147460938,0,-1.0662273168563843,-288.47943115234375,2025-03-29 16:48:19,-88.33683776855469,"(-90.21176147460938, 79.70264434814453, 49.91546630859375, 0.0)"
5,-89.3382339477539,0,3.3493857383728027,-289.9795837402344,2025-03-29 16:48:27,-111.34048461914062,"(-89.3382339477539, 89.29141998291016, 50.24404525756836, 0.0)"
6,-89.47058868408203,0,2.7117810249328613,-293.4786376953125,2025-03-29 16:48:38,-89.11297607421875,"(-89.47058868408203, 81.64326477050781, 47.704376220703125, 0.0)"
7,-89.4441146850586,0,2.1707630157470703,-223.73585510253906,2025-03-29 16:48:47,-107.41801452636719,"(-89.4441146850586, 74.56976318359375, 77.18208312988281, 0.0)"
8,-44.6558837890625,0,159.95867919921875,-158.04873657226562,2025-03-29 16:48:59,-115.26657104492188,"(-44.6558837890625, 77.92530822753906, 77.48426818847656, 0.0)"
9,4.976470470428467,0,303.91510009765625,26.463367462158203,2025-03-29 16:49:07,-40.19526290893555,"(4.976470470428467, 69.28644561767578, 36.74538803100586, 0.0)"
10,90.5558853149414,0,-2.89782977104187,298.67401123046875,2025-03-29 16:49:14,-31.63562774658203,"(90.5558853149414, 64.2826919555664, 37.85873031616211, 0.0)"
11,89.89411926269531,0,0.4653349816799164,251.81271362304688,2025-03-29 16:49:29,0.030517578125,"(89.89411926269531, 39.85962677001953, 44.80908966064453, 0.0)"
12,91.2441177368164,0,-5.062448024749756,233.10531616210938,2025-03-29 16:49:48,11.913162231445312,"(91.2441177368164, 30.550077438354492, 45.222103118896484, 0.0)"
