index,r,result,x,y,timestamp,z,jointAngle
1,-90.21176147460938,0,-0.827374279499054,-223.85511779785156,2025-03-30 09:31:44,-108.6873779296875,"(-90.21176147460938, 75.1059799194336, 77.27008819580078, 0.0)"
2,-92.32941436767578,0,-10.510190963745117,-258.37255859375,2025-03-30 09:31:57,-90.88885498046875,"(-92.32941436767578, 73.10966491699219, 62.265655517578125, 0.0)"
3,-92.54117584228516,0,-12.21439266204834,-275.2161865234375,2025-03-30 09:32:05,-87.99211120605469,"(-92.54117584228516, 75.8758544921875, 55.35491180419922, 0.0)"
4,-93.20294189453125,0,-15.755753517150879,-281.5526428222656,2025-03-30 09:32:09,-92.46043395996094,"(-93.20294189453125, 79.31168365478516, 53.06412887573242, 0.0)"
5,-92.938232421875,0,-14.569969177246094,-283.8663635253906,2025-03-30 09:32:15,-110.32568359375,"(-92.938232421875, 86.98372650146484, 53.01937484741211, 0.0)"
6,-92.54117584228516,0,-12.317363739013672,-277.5363464355469,2025-03-30 09:32:26,-91.66747283935547,"(-92.54117584228516, 77.86132049560547, 54.755924224853516, 0.0)"
7,-91.77352905273438,0,-7.4348649978637695,-240.1146240234375,2025-03-30 09:32:34,-104.05482482910156,"(-91.77352905273438, 75.13748931884766, 70.6336441040039, 0.0)"
8,-2.22352933883667,0,273.29351806640625,-10.61127758026123,2025-03-30 09:32:44,-73.24790954589844,"(-2.22352933883667, 69.97999572753906, 54.359249114990234, 0.0)"
9,91.11176300048828,0,-5.601428985595703,288.6380310058594,2025-03-30 09:32:52,-0.3112335205078125,"(91.11176300048828, 52.10159683227539, 34.48820114135742, 0.0)"
10,90.87352752685547,0,-3.7415411472320557,245.3910675048828,2025-03-30 09:32:59,1.6476287841796875,"(90.87352752685547, 37.4476432800293, 45.880714416503906, 0.0)"
