index,r,result,x,y,timestamp,z,jointAngle
1,-88.0676498413086,0,7.467447280883789,-221.33241271972656,2025-03-29 16:32:36,-104.16769409179688,"(-88.0676498413086, 73.00884246826172, 77.68577575683594, 0.0)"
2,-96.88235473632812,0,-26.70048713684082,-221.21192932128906,2025-03-29 16:32:49,-111.39156341552734,"(-96.88235473632812, 76.1327896118164, 77.92459106445312, 0.0)"
3,-92.67353057861328,0,-11.271159172058105,-241.37420654296875,2025-03-29 16:40:08,-93.0364990234375,"(-92.67353057861328, 70.94933319091797, 68.8533706665039, 0.0)"
4,-86.66470336914062,0,16.259431838989258,-278.9991149902344,2025-03-29 16:33:04,-87.17145538330078,"(-86.66470336914062, 76.62804412841797, 53.64846420288086, 0.0)"
5,-86.4000015258789,0,17.24437141418457,-274.092041015625,2025-03-29 16:33:12,-113.52920532226562,"(-86.4000015258789, 85.57518768310547, 57.475364685058594, 0.0)"
6,-86.69117736816406,0,16.18230438232422,-279.9023132324219,2025-03-29 16:33:20,-86.0184097290039,"(-86.69117736816406, 76.44763946533203, 53.164859771728516, 0.0)"
7,-86.69117736816406,0,12.718574523925781,-219.99082946777344,2025-03-29 16:33:28,-96.18838500976562,"(-86.69117736816406, 69.58222198486328, 77.09121704101562, 0.0)"
8,-27.63529396057129,0,193.2187042236328,-101.16389465332031,2025-03-29 16:33:41,-90.40736389160156,"(-27.63529396057129, 66.94511413574219, 77.07414245605469, 0.0)"
9,88.9941177368164,0,4.3489580154418945,247.6950225830078,2025-03-29 16:34:10,-27.201339721679688,"(88.9941177368164, 47.52170944213867, 53.632137298583984, 0.0)"
10,90.44999694824219,0,-1.8746215105056763,238.6779022216797,2025-03-29 16:34:26,26.879295349121094,"(90.44999694824219, 27.970182418823242, 38.92054748535156, 0.0)"
