index,r,result,x,y,timestamp,z,jointAngle
1,-89.4441146850586,0,2.129293203353882,-219.46165466308594,2025-03-27 21:27:17,-103.57412719726562,"(-89.4441146850586, 72.58570861816406, 78.35974884033203, 0.0)"
2,-89.47058868408203,0,2.533177137374878,-274.14947509765625,2025-03-27 21:27:35,-89.28189849853516,"(-89.47058868408203, 76.01966857910156, 56.01942825317383, 0.0)"
3,-89.3382339477539,0,3.136568784713745,-271.5545349121094,2025-03-27 21:27:54,-113.03605651855469,"(-89.3382339477539, 84.60619354248047, 58.790672302246094, 0.0)"
4,-89.25882720947266,0,3.4436233043670654,-266.1907653808594,2025-03-27 21:28:17,-88.58279418945312,"(-89.25882720947266, 73.86048889160156, 59.08040237426758, 0.0)"
5,-88.01470947265625,0,7.594265460968018,-219.08424377441406,2025-03-27 21:28:33,-99.76811218261719,"(-88.01470947265625, 70.97229766845703, 77.9884262084961, 0.0)"
6,3.467647075653076,0,240.83493041992188,14.593600273132324,2025-03-27 21:28:51,-53.62989807128906,"(3.467647075653076, 55.61518859863281, 62.064510345458984, 0.0)"
7,90.5558853149414,0,-2.563427209854126,264.207763671875,2025-03-27 21:29:13,-39.49742889404297,"(90.5558853149414, 55.92620849609375, 51.555850982666016, 0.0)"
8,89.86764526367188,0,0.5403757095336914,233.92909240722656,2025-03-27 21:29:36,21.43360137939453,"(89.86764526367188, 27.926082611083984, 41.729827880859375, 0.0)"
